video_id,category_1,category_2,rank,task_id
1Nqg8_tctxM,Home and Garden,Home Improvements and Repairs,128,110397
1OV_CFQPAno,Hobbies and Crafts,Crafts,186,53137
1W4s1_5GV4c,Hobbies and Crafts,Toys,34,98964
1Wfnl-Hh8xI,Home and Garden,Sustainable Living,41,18671
1xYnYL_MtzE,Food and Entertaining,Recipes,6,91096
23kdQESCADc,Hobbies and Crafts,Crafts,28,7131
25IJueRU9co,Hobbies and Crafts,Toys,1,74909
298qxjNA7rY,Hobbies and Crafts,Games,84,29981
2efLgQVAIFA,Health,,57,4417
2MDJSLk--fY,Holidays and Traditions,Easter,94,55490
2vSyedo37p4,Home and Garden,Tools,169,60241
2zrWauoRXFw,Food and Entertaining,Recipes,84,57370
3lOsU9d4eCI,Home and Garden,Housekeeping,26,86528
4JpTjqOPTFg,Food and Entertaining,Recipes,119,16668
4nwSrb8M_DU,Home and Garden,Disaster Preparedness,4,12452
4oPyaN2m-v0,Holidays and Traditions,Easter,138,55509
